Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-14 17:17:47,548.0,Test,30,26,2459096,68692,23470,16186,3718,3870,5305,3966,0,1
2024-06-14 17:17:47,548.0,Test,34,17,509046,21038,4174,1608,1291,1667,1375,656,0,2
2024-06-14 17:17:47,548.0,Test,24,3,234948,69267,3980,2971,4009,3032,3860,2271,0,3
2024-06-14 17:17:47,548.0,Test,20,3,902756,32566,2465,5279,12716,3769,2474,574,0,4
2024-06-14 17:17:47,548.0,Test,17,1,601617,55600,6113,1112,1531,1801,2784,761,0,5
2024-06-14 17:17:47,548.0,Test,10,8,1270025,25013,17615,3954,1476,1603,4722,800,0,6
2024-06-14 17:17:47,548.0,Test,23,24,733667,62441,8189,20176,19385,9653,7756,1704,0,7
2024-06-14 17:17:47,548.0,Test,23,24,1460472,7649,33249,13480,9380,5550,3163,1317,0,8
2024-06-14 17:17:47,548.0,Test,23,24,1502796,45525,17555,9392,4656,2958,1575,1064,0,9
2024-06-14 17:17:47,548.0,Test,17,35,1642861,30748,5855,9157,4379,3120,1025,539,51,10
2024-06-14 17:17:47,548.0,Test,21,35,120685,38324,2044,3356,3456,1409,2418,273,49,11
2024-06-14 17:17:47,548.0,Test,27,47,2242807,24784,42993,42899,13948,6778,3337,1600,64,12
2024-06-14 17:17:47,548.0,Test,27,47,414061,7116,9164,3262,2412,1370,807,184,75,13
2024-06-14 17:17:47,548.0,Test,29,29,195155,106835,5965,3258,9657,13972,7264,3448,78,14
2024-06-14 17:17:47,548.0,Test,29,40,1184687,61740,54385,5674,6259,8727,4648,3982,83,15
2024-06-14 17:17:47,548.0,Test,23,43,281340,61024,7567,2471,3461,1284,961,661,64,16
2024-06-14 17:17:47,548.0,Test,26,34,302102,28087,20728,8389,1915,4530,1540,620,64,17
2024-06-14 17:17:47,548.0,Test,40,53,187768,21759,6813,8257,9532,12578,16894,3887,73,18
2024-06-14 17:17:47,548.0,Test,26,23,1458740,917371,47380,9612,42533,23663,13700,9748,69,19
2024-06-14 17:17:47,548.0,Test,26,23,2319338,38181,15839,23721,14527,7874,2564,2116,67,20
2024-06-14 17:17:47,548.0,Test,48,50,1487615,56768,42509,51507,19354,19591,3855,3732,64,21
2024-06-14 17:17:47,548.0,Test,41,48,1021482,59712,23468,29210,14238,4727,2724,2520,68,22
2024-06-14 17:17:47,548.0,Test,34,51,268841,144844,52639,31278,25417,37035,20455,7755,75,23
2024-06-14 17:17:47,548.0,Test,50,63,5675,107412,16948,4440,16282,12710,6103,3006,76,24
2024-06-14 17:17:47,548.0,Test,44,48,158623,28619,1050,8070,1710,3155,2091,2430,78,25
2024-06-14 17:17:47,548.0,Test,48,38,583802,114843,29632,4517,4527,10082,4471,4644,80,26
2024-06-14 17:17:47,548.0,Test,38,43,243489,25826,10077,13285,4452,3523,2498,2790,70,27
2024-06-14 17:17:47,548.0,Test,17,50,212163,112977,22246,13729,8128,3075,7912,3104,73,28
2024-06-14 17:17:47,548.0,Test,4,53,878138,103936,28305,9654,8712,3702,8727,4658,60,29
2024-06-14 17:17:47,548.0,Test,16,51,377425,14221,1377,4420,5852,3273,825,367,42,30
2024-06-14 17:17:47,548.0,Test,16,51,917715,76906,40531,31196,9025,2712,2784,1480,43,31
2024-06-14 17:17:47,548.0,Test,23,47,677204,18547,4867,5514,3449,3556,1639,1505,44,32
2024-06-14 17:17:47,548.0,Test,37,53,50696,17855,5275,3250,590,1631,1578,536,36,33
2024-06-14 17:17:47,548.0,Test,41,54,12079,37738,14200,4085,2376,2276,990,905,31,34
2024-06-14 17:17:47,548.0,Test,34,47,153761,30186,2949,648,1476,3054,936,623,36,35
2024-06-14 17:17:47,548.0,Test,13,30,176889,363974,39274,6729,3512,8964,15831,9393,52,36
2024-06-14 17:17:47,548.0,Test,23,26,153465,147184,29734,19460,3111,26483,12305,5841,55,37
2024-06-14 17:17:47,548.0,Test,44,35,37346,31763,38647,15367,10205,22243,11029,7300,52,38
2024-06-14 17:17:47,548.0,Test,67,54,1953,4679,3824,4465,3062,6827,2458,872,61,39
2024-06-14 17:17:47,548.0,Test,100,77,27231,2799,11842,13857,12540,15359,5901,6417,74,40
2024-06-14 17:17:47,548.0,Test,100,64,181744,172314,10955,12883,8120,18566,18791,7332,78,41
2024-06-14 17:17:47,548.0,Test,84,40,1277750,156802,9658,6608,6595,9373,22443,4687,73,42
2024-06-14 17:17:47,548.0,Test,84,29,6913,35810,10938,5922,8870,29167,4941,2255,68,43
2024-06-14 17:17:47,548.0,Test,81,13,99864,8458,1121,2461,2339,4880,1124,837,66,44
2024-06-14 17:17:47,548.0,Test,88,23,140983,15976,2509,3910,3341,3537,1513,2057,70,45
2024-06-14 17:17:47,548.0,Test,88,38,1115483,25188,3473,9082,8633,2543,2981,2962,71,46
2024-06-14 17:17:47,548.0,Test,61,41,110442,127136,40541,2225,10597,10354,4789,2182,67,47
2024-06-14 17:17:47,548.0,Test,43,35,158268,121550,8768,10527,17388,11655,5533,3238,59,48
2024-06-14 17:17:47,548.0,Test,40,30,1273987,92010,8447,16638,15167,15622,11694,4689,52,49
2024-06-14 17:17:47,548.0,Test,50,24,214651,96729,6268,20219,9616,18095,2419,2567,48,50
2024-06-14 17:17:47,548.0,Test,43,8,42535,32575,473,1683,908,1381,913,800,47,51
2024-06-14 17:17:47,548.0,Test,34,3,154179,226240,20221,1220,1984,8255,1456,1803,53,52
2024-06-14 17:17:47,548.0,Test,23,1,54920,19767,660,1356,686,1365,472,213,61,53
2024-06-14 17:17:47,548.0,Test,17,1,218163,37754,5395,4829,1147,3593,1384,840,64,53
2024-06-14 17:17:47,548.0,Test,27,20,1856522,61469,12369,27142,6472,8429,3784,3777,61,54
2024-06-14 17:17:47,548.0,Test,21,34,3335103,481591,119417,23880,22762,12449,10664,25653,55,56
2024-06-14 17:17:47,548.0,Test,66,47,106721,6131,2083,1097,1681,5366,2384,1709,63,58
2024-06-14 17:17:47,548.0,Test,78,43,39155,57299,23728,11164,30954,21768,9804,4531,68,59
2024-06-14 17:17:47,548.0,Test,90,40,1867942,334622,46092,42631,18137,20550,18376,21446,70,60
2024-06-14 17:17:47,548.0,Test,75,37,708625,105268,7563,22017,15031,15791,18078,4638,76,61
2024-06-14 17:17:47,548.0,Test,67,47,5326,28836,16775,13964,6756,19125,7430,2872,80,62
2024-06-14 17:17:47,548.0,Test,51,37,1585457,226018,26796,11647,27118,15202,7946,11019,83,63
2024-06-14 17:17:47,548.0,Test,80,43,1026912,36138,20184,12361,7458,45786,11374,5522,85,64
2024-06-14 17:17:47,548.0,Test,61,35,346074,62615,4438,3296,2333,1985,1502,1403,82,65
2024-06-14 17:17:47,548.0,Test,53,29,18410,46876,19106,5658,10793,12620,8590,4941,74,66
2024-06-14 17:17:47,548.0,Test,51,27,121828,10943,595,835,1576,542,407,127,63,67
2024-06-14 17:17:47,548.0,Test,17,21,193941,87948,14540,9829,9681,3879,1381,1062,69,68
2024-06-14 17:17:47,548.0,Test,24,27,1888876,291927,38907,23221,11700,18300,15343,5969,67,69
2024-06-14 17:17:47,548.0,Test,1,17,1109767,873469,65316,52531,13109,11367,6319,6956,71,70
2024-06-14 17:17:47,548.0,Test,7,40,1245947,37464,14906,19377,2821,4869,4839,2439,61,71
2024-06-14 17:17:47,548.0,Test,8,38,16630,69074,10295,3797,676,2910,1142,885,58,72
2024-06-14 17:17:47,548.0,Test,13,44,674036,226571,85719,23088,5447,19912,19290,9741,47,73
2024-06-14 17:17:47,548.0,Test,38,57,2261599,107050,39819,18711,11581,19028,12312,4275,47,74
2024-06-14 17:17:47,548.0,Test,30,27,1401486,203787,1470,5680,8467,7513,9119,2304,47,74
2024-06-14 17:17:47,548.0,Test,30,27,3674071,126928,57477,57913,23568,19908,13132,7531,49,75
2024-06-14 17:17:47,548.0,Test,30,27,217903,35228,8691,7998,15091,5158,1941,450,61,76
2024-06-14 17:17:47,548.0,Test,27,30,1683357,350717,26070,50890,27102,10294,8521,13710,57,77
2024-06-14 17:17:47,548.0,Test,41,41,222566,4623,4869,4347,2694,2927,3520,2508,68,78
2024-06-14 17:17:47,548.0,Test,37,40,817371,164769,45621,8647,17437,15703,10311,5785,55,79
2024-06-14 17:17:47,548.0,Test,51,53,477197,50390,4087,3257,2601,8838,10013,1850,65,80
2024-06-14 17:17:47,548.0,Test,51,57,465267,200899,54360,11691,7280,7124,6761,4607,71,81
2024-06-14 17:17:47,548.0,Test,54,56,98143,7945,8626,3450,1394,5635,2857,1555,71,82
2024-06-14 17:17:47,548.0,Test,61,60,219746,29086,13152,2546,4611,5953,2807,2392,87,83
2024-06-14 17:17:47,548.0,Test,53,54,174419,58627,3464,2052,3697,4862,3572,1802,88,84
2024-06-14 17:17:47,548.0,Test,83,64,12935,21308,15979,17877,6467,21045,10749,3474,86,86
2024-06-14 17:17:47,548.0,Test,75,48,133378,12997,1645,992,2771,2163,8827,735,83,87
2024-06-14 17:17:47,548.0,Test,74,37,70645,8831,770,718,992,1354,404,125,66,88
2024-06-14 17:17:47,548.0,Test,74,53,216304,77943,23552,13712,18922,8515,9579,7801,65,89
2024-06-14 17:17:47,548.0,Test,69,48,9273,72609,52620,10748,25263,36535,12359,5033,48,90
2024-06-14 17:17:47,548.0,Test,69,48,30706,83597,7970,8146,7020,13333,6588,3738,46,91
2024-06-14 17:17:47,548.0,Test,77,61,4614,35735,4199,35933,21651,20400,3967,11441,53,92
2024-06-14 17:17:47,548.0,Test,88,54,372918,55922,5659,12595,8511,18142,18101,5944,53,93
2024-06-14 17:17:47,548.0,Test,81,50,82656,45500,7541,7194,4419,7554,3644,2221,61,94
2024-06-14 17:17:47,548.0,Test,83,47,138538,19020,1773,1255,1586,3800,4420,6664,54,94
2024-06-14 17:17:47,548.0,Test,70,51,873487,63469,47052,23529,14618,12192,5076,4495,58,95
2024-06-14 17:17:47,548.0,Test,61,51,174750,50674,5161,7828,1849,5191,11437,1997,60,96
2024-06-14 17:17:47,548.0,Test,43,37,1064564,509034,23693,10448,13514,11281,13261,3526,68,97
2024-06-14 17:17:47,548.0,Test,41,50,158614,90991,22170,29900,4984,23396,18477,5390,66,98
2024-06-14 17:17:47,548.0,Test,38,29,459101,47378,4541,1254,2438,3056,2820,459,69,99
2024-06-14 17:17:47,548.0,Test,41,29,179218,31392,3467,4105,1844,4280,2526,1334,64,100
2024-06-14 17:17:47,548.0,Test,69,43,478645,48205,8747,11994,12627,22377,10581,4549,62,101
2024-06-14 17:17:47,548.0,Test,53,34,897090,240018,31591,5829,11269,10498,3720,8256,60,102
2024-06-14 17:17:47,548.0,Test,60,34,220991,163669,20194,2596,17672,17527,19311,5773,57,103
2024-06-14 17:17:47,548.0,Test,67,40,24481,46611,20099,10054,14002,20464,14277,3136,54,104
2024-06-14 17:17:47,548.0,Test,63,38,74541,7234,1021,1460,1224,1879,402,209,52,105
2024-06-14 17:17:47,548.0,Test,81,30,675206,185363,9040,10874,18835,44570,8078,14876,52,106
2024-06-14 17:17:47,548.0,Test,91,43,130853,18583,3732,8407,3333,8172,3456,1107,53,107
2024-06-14 17:17:47,548.0,Test,78,34,102878,28458,1732,2508,1505,2540,1331,520,76,108
2024-06-14 17:17:47,548.0,Test,70,26,1659061,162116,2701,18866,4343,16513,9712,5321,69,109
2024-06-14 17:17:47,548.0,Test,61,34,17819,126558,3960,18648,13407,14020,13743,4851,51,110
2024-06-14 17:17:47,548.0,Test,57,29,41027,65108,9584,12352,9428,14566,9584,4614,63,111
2024-06-14 17:17:47,548.0,Test,66,34,52564,5055,909,305,553,1006,695,318,62,112
2024-06-14 17:17:47,548.0,Test,84,35,1675,38986,4574,6519,11216,27987,4492,4912,58,113
2024-06-14 17:17:47,548.0,Test,91,48,87600,50641,25679,13783,7919,14031,25540,7731,70,114
2024-06-14 17:17:47,548.0,Test,100,40,10421,38590,2635,4634,4686,19007,7915,6716,72,115
2024-06-14 17:17:47,548.0,Test,87,27,479295,220089,11593,3172,4780,10544,6020,6150,61,116
2024-06-14 17:17:47,548.0,Test,69,47,54217,72404,69544,25222,23185,17943,8297,5396,60,117
2024-06-14 17:17:47,548.0,Test,66,47,62557,25681,11724,3885,1323,5230,1046,2514,62,118
2024-06-14 17:17:47,548.0,Test,53,53,22048,161467,30504,17326,12205,26338,7144,10874,51,119
2024-06-14 17:17:47,548.0,Test,81,64,25768,24820,5829,5640,4784,20532,7275,6135,56,120
2024-06-14 17:17:47,548.0,Test,100,56,38456,25639,24324,4001,3913,55162,9232,6839,53,121
2024-06-14 17:17:47,548.0,Test,100,47,57182,80074,8527,15202,10950,28985,18341,1515,47,122
2024-06-14 17:17:47,548.0,Test,100,56,16182,39265,20801,22070,13386,18864,10140,2257,46,123
2024-06-14 17:17:47,548.0,Test,80,56,537014,166123,28262,15757,17436,9990,11105,19116,46,124
2024-06-14 17:17:47,548.0,Test,47,44,664659,80029,5038,4438,4577,2804,1904,1585,58,125
2024-06-14 17:17:47,548.0,Test,38,63,323390,62890,74521,18290,6712,17919,18631,10598,55,126
2024-06-14 17:17:47,548.0,Test,37,60,1417468,77012,25057,17815,4534,23079,7289,17221,51,127
2024-06-14 17:17:47,548.0,Test,48,64,13849,55182,21002,5988,2727,14618,17250,3232,47,128
2024-06-14 17:17:47,548.0,Test,60,74,12195,102330,15908,16513,8457,15590,5727,3703,37,129
2024-06-14 17:17:47,548.0,Test,67,67,388099,66835,46674,19565,5435,35288,9669,6024,36,130
2024-06-14 17:17:47,548.0,Test,81,61,18709,28364,840,15980,6003,44282,18314,6437,40,131
2024-06-14 17:17:47,548.0,Test,80,40,78188,44388,377,2322,2961,6231,3898,1931,38,132
2024-06-14 17:17:47,548.0,Test,80,38,403519,30202,3433,3876,3593,4386,3001,2479,35,133
2024-06-14 17:17:47,548.0,Test,80,29,48392,24896,9332,2165,4464,9112,3059,2248,41,134
2024-06-14 17:17:47,548.0,Test,48,23,23820,24730,1535,1160,546,768,1581,183,43,135
2024-06-14 17:17:47,548.0,Test,47,40,469699,112424,23968,9828,16847,16783,10149,4867,48,136
2024-06-14 17:17:47,548.0,Test,50,48,101968,20736,11759,2987,3570,6033,3214,1007,49,137
2024-06-14 17:17:47,548.0,Test,40,50,169335,9334,3208,1889,2794,1206,1804,193,46,138
2024-06-14 17:17:47,548.0,Test,38,53,2233717,502031,57527,21276,5680,14226,31974,4581,42,139
2024-06-14 17:17:47,548.0,Test,47,54,133371,4652,1618,917,1756,2492,1992,339,35,140
2024-06-14 17:17:47,548.0,Test,61,50,12782,26900,1872,17586,2701,32398,15988,3648,31,141
2024-06-14 17:17:47,548.0,Test,67,37,546948,158788,11553,7744,20792,29601,37363,2221,30,142
2024-06-14 17:17:47,548.0,Test,88,44,177560,100657,51090,1062,12243,33152,27797,1498,39,143
2024-06-14 17:17:47,548.0,Test,83,38,9401,47635,6121,6998,36877,10972,6688,3199,50,144
2024-06-14 17:17:47,548.0,Test,81,35,35223,20407,1971,6652,2425,18860,12323,6700,34,145
2024-06-14 17:17:47,548.0,Test,63,40,48960,12218,438,2019,1275,329,2809,764,27,146
2024-06-14 17:17:47,548.0,Test,61,37,166962,162158,32553,15205,3407,43364,6960,2198,29,147
2024-06-14 17:17:47,548.0,Test,56,53,89194,41151,28165,4924,3600,6968,3007,1860,29,148
2024-06-14 17:17:47,548.0,Test,40,60,112824,105328,21572,47458,32853,20543,4580,6138,27,149
2024-06-14 17:17:47,548.0,Test,54,50,466448,262859,8550,9360,18487,28856,11322,10997,27,150
2024-06-14 17:17:47,548.0,Test,51,57,50553,26375,10614,11169,2493,6581,3126,2923,30,151
2024-06-14 17:17:47,548.0,Test,47,35,159740,102245,5145,1980,2095,5969,2674,1206,28,152
2024-06-14 17:17:47,548.0,Test,57,30,7690,10134,1774,5477,4111,8570,2574,1409,30,153
2024-06-14 17:17:47,548.0,Test,57,37,46344,95571,9298,2273,4157,10521,3007,1888,30,154
2024-06-14 17:17:47,548.0,Test,61,24,1538983,96728,10288,12954,16415,24927,22310,4260,29,155
2024-06-14 17:17:47,548.0,Test,83,50,6855,13957,32045,5515,9044,27640,10502,2642,44,156
2024-06-14 17:17:47,548.0,Test,78,41,147162,18424,1206,2592,3909,5593,2860,1619,42,157
