id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cakupan_layanan,jumlah_kepala_keluarga,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,SANITASI LAYAK,1148378,KEPALA KELUARGA,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAYANAN DASAR,285761,KEPALA KELUARGA,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUANG AIR BESAR SEMBARANGAN,597729,KEPALA KELUARGA,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SANITASI LAYAK,511817,KEPALA KELUARGA,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAYANAN DASAR,65584,KEPALA KELUARGA,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUANG AIR BESAR SEMBARANGAN,136460,KEPALA KELUARGA,2019
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SANITASI LAYAK,492377,KEPALA KELUARGA,2019
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAYANAN DASAR,69365,KEPALA KELUARGA,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUANG AIR BESAR SEMBARANGAN,143650,KEPALA KELUARGA,2019
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SANITASI LAYAK,683878,KEPALA KELUARGA,2019
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAYANAN DASAR,45527,KEPALA KELUARGA,2019
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUANG AIR BESAR SEMBARANGAN,201639,KEPALA KELUARGA,2019
13,32,JAWA BARAT,3205,KABUPATEN GARUT,SANITASI LAYAK,329720,KEPALA KELUARGA,2019
14,32,JAWA BARAT,3205,KABUPATEN GARUT,LAYANAN DASAR,122085,KEPALA KELUARGA,2019
15,32,JAWA BARAT,3205,KABUPATEN GARUT,BUANG AIR BESAR SEMBARANGAN,227922,KEPALA KELUARGA,2019
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SANITASI LAYAK,372409,KEPALA KELUARGA,2019
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAYANAN DASAR,57184,KEPALA KELUARGA,2019
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUANG AIR BESAR SEMBARANGAN,121597,KEPALA KELUARGA,2019
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SANITASI LAYAK,215508,KEPALA KELUARGA,2019
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAYANAN DASAR,69824,KEPALA KELUARGA,2019
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUANG AIR BESAR SEMBARANGAN,111227,KEPALA KELUARGA,2019
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SANITASI LAYAK,296632,KEPALA KELUARGA,2019
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAYANAN DASAR,80,KEPALA KELUARGA,2019
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUANG AIR BESAR SEMBARANGAN,36713,KEPALA KELUARGA,2019
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,SANITASI LAYAK,551748,KEPALA KELUARGA,2019
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAYANAN DASAR,19571,KEPALA KELUARGA,2019
