,id,Tweet
0,1,15 pro max 1tb
1,2,"Ribut ribut soal pajak, gak ada yg mau tanya ke beliau ini ? Wakil ketua pengawas perpajakan kemenkeu, dosen UGM, terlibat reformasi dikorupsi, dirty vote, dan kawal putusan MK, direktur LSM yg anti korupsi. Pernah komisaris Pertamina jg loh...

https://komwasjak.kemenkeu.go.id/in/page/profil-pejabat…"
2,3,"Ribut ribut soal pajak. Apa gak ada yg mau tanya ke bapak dosen satu ini ? Beliau dosen ugm dan wakil ketua pengawas perpajakan kemenkeu. Akademisi kritis yg ikut reformasi dikorupsi, dirty vote dan kawal putusan MK. Direktur LSM anti korupsi.

https://komwasjak.kemenkeu.go.id/in/page/profil-pejabat…"
3,4,"Sy pribadi memaafkan tp dia hrs mempertanggung  jwbkan semua perbuatan di dpn hukum yg telah memporak porandakan demokrasi di negara ini usut semua mulai dr putusan MK,tambang ,gaya hedon keluarga y dll"
4,5,"RUU Pilkada dibahas hanya dalam waktu 7 jam, tapi kenapa RUU PPRT belum disahkan? Putusan MK No. 60/PUU-XXII/2024 tentang ambang batas pencalonan kepala daerah juga telah masuk dalam RUU Pilkada. Partai politik tanpa kursi di DPRD Provinsi kini bisa mendaftarkan calon kepala"
5,6,"Bocah dalam konteks dia sekadar anak dari sang Bapak, perbedaan umur dengan Presiden terpilih dan hiruk pikuk putusan MK karena peran sang Paman."
6,7,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK

#MenjagaPutusanMK"
7,8,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK

#MenjagaPutusanMK"
8,9,Waahh aku mau kakk
9,10,"Yang memuja siapa? kita itu tidak memuja putusan MK 60,spt kamu memuja Gibran krn dibayar, keputusan MK 60 itu yg menikmatinya banyak dibandingkan putusan paman yg hny dinikmati Gibran"
10,11,"- Paman Usman siapa nya Presiden ujungnya polemik Putusan MK? 
- Mr. G apa nya Mr. Presiden? 
- Mr. P gak mengundurkan diri seperti Mr. MMD? 
- Film Dirty Vote?  Kok gak dilaporkan?"
11,12,Ketua KPU: Saya Sudah Tanda Tangani Surat Mundur Jika Putusan MK Tidak Masuk PKPU
12,13,"VIDEO: Mahfud Setelah Putusan MK soal Pilkada 2024 ""Jokowi Jalannya Sudah Ditutup!"""
13,14,Pemerintah mengikuti putusan MK
14,15,"keluarlah harusnya,manfaatin tuh putusan MK. jangan banyak alesan,aspirasi rakyat jakarta perlu didengarkan"
15,16,KPU tegaskan taat pada putusan MK soal UU Pilkada.
16,17,"Coba apa bedanya putusan MK 90 dg 60?

Ada untung MK dipuja gak ada untung MK dihujat, xixixi!"
17,18,"Alesan lah, setelah putusan MK, PKS ga perlu lagi nyari kursi, cuma kadung udh itung2an bagi2 cuan, dan jatah Mentri lumayan buat keren2an "
18,19,Boleh tau kerjaannya ga kak?
19,20,"Prosesnya SAMA persis dg permohonan ambang batas parlemen utk pilkada, yg menguntungkan PDIP

Knp yg putusan MK 90 dinyinyiri sementara putusan MK 60 dipuja puji?

Aneh gak sih, xixixi!"
20,21,Biji! gerombolan DPR mau rubah putusan MK ke mana aja elo gak bersuara? 
21,22,Pemerintah Mendukung Putusan MK Tentang Pilkada Serentak 2024 #mk #pilkada
22,23,Kawal Putusan MK Tentang Pilkada Dengan Aksi Damai Bukan Anarkis #mk #pilkada
23,24,"Anies klo pasangan sama kaesang gw buang tuh
Lah ini blom ad putusan mk dukung kaesang d jateng boby d sumut tapi framing yang salah selalu anies pdahal waktu pileg nya anti dynasty eh udah pileg bemper dynasty"
24,25,Mahasiswa dan Ormas Kawal Putusan MK Tentang Pilkada Dengan Aksi Damai #mk #pilkada
25,26,Warga Jakarta Kawal Putusan MK Tentang Pilkada Dengan Deklarasi Pemilu Damai #mk #pilkada
26,27,Warga Jakarta Kawal Putusan MK Tentang Pilkada Dengan Deklarasi Pemilu Damai #mk #pilkada
27,28,"Senengane jalan pintas , ngakali, koyo ngakali putusan MK dll, kabeh soko ndas ndasane sing kucluk mestine tidak ada visi mentri to onone visi presiden"
28,29,"Pemerintah dukung implementasi putusan MK tentang Pilkada. 
Hal ni dilakukan tuk jaga persatuan serta integritas demokrasi Pilkada Serentak 2024.

Fufufafa CD Abang2
Guru Gembul Puput Novel PSSI Fanny"
29,30,"""Menurut UUD 45 dan Pancasila, tugas hukum itu mengawal demokrasi.

Putusan MK 90 itu cacat menurut UU Kehakiman pasal 17 ayat 5.

Bagaimana putusan hukum yang cacat bisa mengawal demokrasi? Putusan MK 90 itu sumber segala keruwetan"" (Maruarar Siahaan) 

#BatalkanGibranDilantik"
30,31,"boleh infokan perusahaannya apa, sama budged utk posisi tersebut kak... "
