,Platform,Year,Genre,EU_Sales
0,2600,1980,Shooter,0.26
1,2600,1980,Shooter,0.17
2,2600,1980,Misc,0.07
3,2600,1980,Misc,0.05
4,2600,1980,Fighting,0.04
5,2600,1980,Sports,0.03
6,2600,1980,Action,0.02
7,2600,1980,Misc,0.02
8,2600,1980,Misc,0.01
9,2600,1981,Platform,0.24
10,2600,1981,Action,0.12
11,2600,1981,Shooter,0.12
12,2600,1981,Action,0.11
13,2600,1981,Puzzle,0.1
14,2600,1981,Shooter,0.09
15,2600,1981,Platform,0.08
16,2600,1981,Shooter,0.08
17,2600,1981,Shooter,0.08
18,2600,1981,Shooter,0.06
19,2600,1981,Shooter,0.05
20,2600,1981,Platform,0.05
21,2600,1981,Action,0.05
22,2600,1981,Action,0.05
23,2600,1981,Action,0.04
24,2600,1981,Action,0.04
25,2600,1981,Shooter,0.04
26,2600,1981,Action,0.04
27,2600,1981,Action,0.03
28,2600,1981,Puzzle,0.03
29,2600,1981,Action,0.03
30,2600,1981,Action,0.03
31,2600,1981,Racing,0.03
32,2600,1981,Simulation,0.02
33,2600,1981,Action,0.03
34,2600,1981,Action,0.02
35,2600,1981,Action,0.02
36,2600,1981,Action,0.02
37,2600,1981,Action,0.02
38,2600,1981,Action,0.02
39,2600,1981,Action,0.02
40,2600,1981,Action,0.02
41,2600,1981,Shooter,0.02
42,2600,1981,Action,0.02
43,2600,1981,Action,0.02
44,2600,1981,Action,0.02
45,2600,1981,Sports,0.01
46,2600,1981,Action,0.01
47,2600,1981,Shooter,0.01
48,2600,1981,Shooter,0.01
49,2600,1981,Action,0.01
50,2600,1981,Action,0.01
51,2600,1981,Sports,0.01
52,2600,1981,Sports,0.01
53,2600,1981,Action,0.01
54,2600,1981,Sports,0.01
55,2600,1982,Puzzle,0.45
56,2600,1982,Puzzle,0.1
57,2600,1982,Platform,0.09
58,2600,1982,Racing,0.07
59,2600,1982,Shooter,0.06
60,2600,1982,Platform,0.06
61,2600,1982,Platform,0.06
62,2600,1982,Misc,0.05
63,2600,1982,Shooter,0.04
64,2600,1982,Shooter,0.05
65,2600,1982,Platform,0.04
66,2600,1982,Action,0.04
67,2600,1982,Action,0.04
68,2600,1982,Shooter,0.03
69,2600,1982,Action,0.03
70,2600,1982,Puzzle,0.03
71,2600,1982,Sports,0.03
72,2600,1982,Action,0.03
73,2600,1982,Platform,0.03
74,2600,1982,Shooter,0.03
75,2600,1982,Sports,0.03
76,2600,1982,Action,0.03
77,2600,1982,Action,0.02
78,2600,1982,Racing,0.02
79,2600,1982,Action,0.02
80,2600,1982,Action,0.02
