,Platform,Year,Genre,Global_Sales
0,2600,1980,Shooter,4.31
1,2600,1980,Shooter,2.76
2,2600,1980,Misc,1.15
3,2600,1980,Misc,1.05
4,2600,1980,Fighting,0.77
5,2600,1980,Sports,0.49
6,2600,1980,Action,0.34
7,2600,1980,Misc,0.27
8,2600,1980,Misc,0.24
9,2600,1981,Platform,4.5
10,2600,1981,Action,2.2
11,2600,1981,Shooter,2.13
12,2600,1981,Action,1.97
13,2600,1981,Puzzle,1.65
14,2600,1981,Shooter,1.6
15,2600,1981,Platform,1.46
16,2600,1981,Shooter,1.36
17,2600,1981,Shooter,1.27
18,2600,1981,Shooter,1.1
19,2600,1981,Shooter,1.05
20,2600,1981,Platform,0.97
21,2600,1981,Action,0.93
22,2600,1981,Action,0.82
23,2600,1981,Action,0.79
24,2600,1981,Action,0.77
25,2600,1981,Shooter,0.73
26,2600,1981,Action,0.69
27,2600,1981,Action,0.67
28,2600,1981,Puzzle,0.59
29,2600,1981,Action,0.59
30,2600,1981,Action,0.5
31,2600,1981,Racing,0.48
32,2600,1981,Simulation,0.45
33,2600,1981,Action,0.45
34,2600,1981,Action,0.43
35,2600,1981,Action,0.4
36,2600,1981,Action,0.39
37,2600,1981,Action,0.39
38,2600,1981,Action,0.37
39,2600,1981,Action,0.36
40,2600,1981,Action,0.34
41,2600,1981,Shooter,0.34
42,2600,1981,Action,0.33
43,2600,1981,Action,0.31
44,2600,1981,Action,0.29
45,2600,1981,Sports,0.26
46,2600,1981,Action,0.24
47,2600,1981,Shooter,0.24
48,2600,1981,Shooter,0.22
49,2600,1981,Action,0.22
50,2600,1981,Action,0.22
51,2600,1981,Sports,0.21
52,2600,1981,Sports,0.19
53,2600,1981,Action,0.17
54,2600,1981,Sports,0.13
55,2600,1982,Puzzle,7.81
56,2600,1982,Puzzle,1.64
57,2600,1982,Platform,1.59
58,2600,1982,Racing,1.18
59,2600,1982,Shooter,1.12
60,2600,1982,Platform,1.1
61,2600,1982,Platform,1.08
62,2600,1982,Misc,0.87
63,2600,1982,Shooter,0.78
64,2600,1982,Shooter,0.77
65,2600,1982,Platform,0.72
66,2600,1982,Action,0.66
67,2600,1982,Action,0.63
68,2600,1982,Shooter,0.62
69,2600,1982,Action,0.62
70,2600,1982,Puzzle,0.58
71,2600,1982,Sports,0.55
72,2600,1982,Action,0.54
73,2600,1982,Platform,0.54
74,2600,1982,Shooter,0.5
75,2600,1982,Sports,0.5
76,2600,1982,Action,0.5
77,2600,1982,Action,0.4
78,2600,1982,Racing,0.39
79,2600,1982,Action,0.38
80,2600,1982,Action,0.34
81,2600,1982,Action,0.34
82,2600,1982,Action,0.32
83,2600,1982,Action,0.31
84,2600,1982,Action,0.28
85,2600,1982,Action,0.27
86,2600,1982,Action,0.25
87,2600,1982,Action,0.22
88,2600,1982,Action,0.17
89,2600,1982,Action,0.15
90,2600,1982,Action,0.14
91,NES,1983,Sports,3.2
92,NES,1983,Platform,2.28
93,NES,1983,Misc,2.14
94,2600,1983,Platform,1.31
95,NES,1983,Platform,1.13
96,NES,1983,Platform,1.11
97,NES,1983,Platform,1.1
98,2600,1983,Puzzle,0.78
99,2600,1983,Action,0.77
100,2600,1983,Action,0.5
101,2600,1983,Shooter,0.48
102,2600,1983,Action,0.46
103,2600,1983,Adventure,0.4
104,2600,1983,Action,0.34
105,2600,1983,Action,0.33
106,2600,1983,Action,0.29
107,2600,1983,Action,0.17
108,NES,1984,Shooter,28.31
109,NES,1984,Racing,4.16
110,NES,1984,Sports,4.01
111,NES,1984,Sports,2.17
112,NES,1984,Action,1.85
113,NES,1984,Racing,1.52
114,NES,1984,Shooter,1.52
115,NES,1984,Misc,1.45
116,NES,1984,Shooter,1.27
117,NES,1984,Puzzle,1.22
118,NES,1984,Puzzle,1.1
119,NES,1984,Puzzle,0.82
120,NES,1984,Platform,0.69
121,2600,1984,Racing,0.27
122,NES,1985,Platform,40.24
123,NES,1985,Action,3.5
124,NES,1985,Sports,1.96
125,NES,1985,Platform,1.5
126,NES,1985,Puzzle,1.32
127,NES,1985,Fighting,1.05
128,NES,1985,Puzzle,1.03
129,NES,1985,Shooter,1.0
130,NES,1985,Platform,0.92
131,NES,1985,Platform,0.51
132,2600,1985,Puzzle,0.45
133,NES,1985,Puzzle,0.41
134,PC,1985,Simulation,0.03
135,DS,1985,Action,0.02
136,NES,1986,Action,6.51
137,NES,1986,Sports,3.08
138,NES,1986,Action,2.73
139,NES,1986,Platform,2.65
140,NES,1986,Role-Playing,2.52
141,NES,1986,Sports,2.2
142,NES,1986,Racing,1.96
143,NES,1986,Platform,1.76
144,NES,1986,Action,1.64
145,NES,1986,Platform,1.5
146,NES,1986,Shooter,1.36
147,NES,1986,Platform,1.23
148,NES,1986,Shooter,1.2
149,NES,1986,Platform,1.2
150,NES,1986,Action,1.15
151,NES,1986,Action,1.14
152,NES,1986,Platform,1.05
153,NES,1986,Shooter,0.96
154,NES,1986,Action,0.57
155,2600,1986,Shooter,0.37
156,2600,1986,Sports,0.29
157,NES,1987,Adventure,4.38
158,NES,1987,Fighting,3.02
159,NES,1987,Role-Playing,2.56
160,NES,1987,Fighting,2.4
161,NES,1987,Sports,2.15
162,NES,1987,Sports,1.42
163,NES,1987,Role-Playing,1.25
164,NES,1987,Platform,0.93
165,NES,1987,Role-Playing,0.84
166,NES,1987,Platform,0.81
167,2600,1987,Action,0.65
168,2600,1987,Action,0.47
169,2600,1987,Shooter,0.45
170,2600,1987,Shooter,0.26
171,2600,1987,Sports,0.08
172,2600,1987,Sports,0.07
173,NES,1988,Platform,17.28
174,NES,1988,Platform,7.46
175,NES,1988,Puzzle,5.58
176,NES,1988,Role-Playing,3.87
177,NES,1988,Sports,2.42
