,Platform,Year,Genre,JP_Sales
0,2600,1980,Shooter,0.0
1,2600,1980,Shooter,0.0
2,2600,1980,Misc,0.0
3,2600,1980,Misc,0.0
4,2600,1980,Fighting,0.0
5,2600,1980,Sports,0.0
6,2600,1980,Action,0.0
7,2600,1980,Misc,0.0
8,2600,1980,Misc,0.0
9,2600,1981,Platform,0.0
10,2600,1981,Action,0.0
11,2600,1981,Shooter,0.0
12,2600,1981,Action,0.0
13,2600,1981,Puzzle,0.0
14,2600,1981,Shooter,0.0
15,2600,1981,Platform,0.0
16,2600,1981,Shooter,0.0
17,2600,1981,Shooter,0.0
18,2600,1981,Shooter,0.0
19,2600,1981,Shooter,0.0
20,2600,1981,Platform,0.0
21,2600,1981,Action,0.0
22,2600,1981,Action,0.0
23,2600,1981,Action,0.0
24,2600,1981,Action,0.0
25,2600,1981,Shooter,0.0
26,2600,1981,Action,0.0
27,2600,1981,Action,0.0
28,2600,1981,Puzzle,0.0
29,2600,1981,Action,0.0
30,2600,1981,Action,0.0
31,2600,1981,Racing,0.0
32,2600,1981,Simulation,0.0
33,2600,1981,Action,0.0
34,2600,1981,Action,0.0
35,2600,1981,Action,0.0
36,2600,1981,Action,0.0
37,2600,1981,Action,0.0
38,2600,1981,Action,0.0
39,2600,1981,Action,0.0
40,2600,1981,Action,0.0
41,2600,1981,Shooter,0.0
42,2600,1981,Action,0.0
43,2600,1981,Action,0.0
44,2600,1981,Action,0.0
45,2600,1981,Sports,0.0
46,2600,1981,Action,0.0
47,2600,1981,Shooter,0.0
48,2600,1981,Shooter,0.0
49,2600,1981,Action,0.0
50,2600,1981,Action,0.0
51,2600,1981,Sports,0.0
52,2600,1981,Sports,0.0
53,2600,1981,Action,0.0
54,2600,1981,Sports,0.0
55,2600,1982,Puzzle,0.0
56,2600,1982,Puzzle,0.0
57,2600,1982,Platform,0.0
58,2600,1982,Racing,0.0
59,2600,1982,Shooter,0.0
60,2600,1982,Platform,0.0
61,2600,1982,Platform,0.0
62,2600,1982,Misc,0.0
63,2600,1982,Shooter,0.0
64,2600,1982,Shooter,0.0
65,2600,1982,Platform,0.0
66,2600,1982,Action,0.0
67,2600,1982,Action,0.0
68,2600,1982,Shooter,0.0
69,2600,1982,Action,0.0
70,2600,1982,Puzzle,0.0
71,2600,1982,Sports,0.0
