,Platform,Year,Genre,NA_Sales
0,2600,1980,Shooter,4.0
1,2600,1980,Shooter,2.56
2,2600,1980,Misc,1.07
3,2600,1980,Misc,0.99
4,2600,1980,Fighting,0.72
5,2600,1980,Sports,0.46
6,2600,1980,Action,0.32
7,2600,1980,Misc,0.25
8,2600,1980,Misc,0.22
9,2600,1981,Platform,4.21
10,2600,1981,Action,2.06
11,2600,1981,Shooter,1.99
12,2600,1981,Action,1.84
13,2600,1981,Puzzle,1.54
14,2600,1981,Shooter,1.49
15,2600,1981,Platform,1.36
16,2600,1981,Shooter,1.26
17,2600,1981,Shooter,1.18
18,2600,1981,Shooter,1.03
19,2600,1981,Shooter,0.99
20,2600,1981,Platform,0.9
21,2600,1981,Action,0.87
22,2600,1981,Action,0.76
23,2600,1981,Action,0.74
24,2600,1981,Action,0.72
25,2600,1981,Shooter,0.68
26,2600,1981,Action,0.65
27,2600,1981,Action,0.63
28,2600,1981,Puzzle,0.55
29,2600,1981,Action,0.55
30,2600,1981,Action,0.46
31,2600,1981,Racing,0.45
32,2600,1981,Simulation,0.42
33,2600,1981,Action,0.42
34,2600,1981,Action,0.4
35,2600,1981,Action,0.38
36,2600,1981,Action,0.37
37,2600,1981,Action,0.36
38,2600,1981,Action,0.35
39,2600,1981,Action,0.33
40,2600,1981,Action,0.32
41,2600,1981,Shooter,0.32
42,2600,1981,Action,0.3
43,2600,1981,Action,0.29
44,2600,1981,Action,0.27
45,2600,1981,Sports,0.24
46,2600,1981,Action,0.22
47,2600,1981,Shooter,0.22
48,2600,1981,Shooter,0.21
49,2600,1981,Action,0.21
50,2600,1981,Action,0.21
51,2600,1981,Sports,0.2
52,2600,1981,Sports,0.18
53,2600,1981,Action,0.15
54,2600,1981,Sports,0.12
55,2600,1982,Puzzle,7.28
56,2600,1982,Puzzle,1.52
57,2600,1982,Platform,1.48
58,2600,1982,Racing,1.1
59,2600,1982,Shooter,1.05
60,2600,1982,Platform,1.03
61,2600,1982,Platform,1.01
62,2600,1982,Misc,0.81
63,2600,1982,Shooter,0.73
64,2600,1982,Shooter,0.72
65,2600,1982,Platform,0.67
66,2600,1982,Action,0.62
67,2600,1982,Action,0.58
68,2600,1982,Shooter,0.58
69,2600,1982,Action,0.58
70,2600,1982,Puzzle,0.55
71,2600,1982,Sports,0.52
72,2600,1982,Action,0.5
73,2600,1982,Platform,0.5
74,2600,1982,Shooter,0.47
75,2600,1982,Sports,0.46
76,2600,1982,Action,0.46
77,2600,1982,Action,0.37
78,2600,1982,Racing,0.37
79,2600,1982,Action,0.35
80,2600,1982,Action,0.32
81,2600,1982,Action,0.32
82,2600,1982,Action,0.3
83,2600,1982,Action,0.29
84,2600,1982,Action,0.26
85,2600,1982,Action,0.26
86,2600,1982,Action,0.23
87,2600,1982,Action,0.21
88,2600,1982,Action,0.15
89,2600,1982,Action,0.14
90,2600,1982,Action,0.13
91,NES,1983,Sports,0.73
92,NES,1983,Platform,0.51
93,NES,1983,Misc,0.01
94,2600,1983,Platform,1.22
95,NES,1983,Platform,0.23
96,NES,1983,Platform,0.33
97,NES,1983,Platform,0.51
98,2600,1983,Puzzle,0.72
99,2600,1983,Action,0.72
100,2600,1983,Action,0.47
101,2600,1983,Shooter,0.45
102,2600,1983,Action,0.43
103,2600,1983,Adventure,0.38
104,2600,1983,Action,0.32
105,2600,1983,Action,0.31
106,2600,1983,Action,0.27
107,2600,1983,Action,0.15
108,NES,1984,Shooter,26.93
109,NES,1984,Racing,2.04
110,NES,1984,Sports,1.22
111,NES,1984,Sports,0.48
112,NES,1984,Action,0.8
113,NES,1984,Racing,0.0
114,NES,1984,Shooter,0.18
115,NES,1984,Misc,0.0
116,NES,1984,Shooter,0.68
117,NES,1984,Puzzle,0.27
118,NES,1984,Puzzle,0.0
119,NES,1984,Puzzle,0.42
120,NES,1984,Platform,0.0
121,2600,1984,Racing,0.26
122,NES,1985,Platform,29.08
123,NES,1985,Action,1.64
124,NES,1985,Sports,0.18
125,NES,1985,Platform,0.46
126,NES,1985,Puzzle,0.73
127,NES,1985,Fighting,0.0
128,NES,1985,Puzzle,0.18
129,NES,1985,Shooter,0.65
130,NES,1985,Platform,0.39
131,NES,1985,Platform,0.0
132,2600,1985,Puzzle,0.42
133,NES,1985,Puzzle,0.0
134,PC,1985,Simulation,0.0
135,DS,1985,Action,0.0
136,NES,1986,Action,3.74
137,NES,1986,Sports,1.92
138,NES,1986,Action,1.33
139,NES,1986,Platform,0.0
140,NES,1986,Role-Playing,0.49
141,NES,1986,Sports,0.15
142,NES,1986,Racing,1.13
143,NES,1986,Platform,0.53
144,NES,1986,Action,0.74
145,NES,1986,Platform,0.0
146,NES,1986,Shooter,0.27
147,NES,1986,Platform,0.54
148,NES,1986,Shooter,0.0
149,NES,1986,Platform,0.0
150,NES,1986,Action,0.0
151,NES,1986,Action,0.71
152,NES,1986,Platform,0.0
153,NES,1986,Shooter,0.32
154,NES,1986,Action,0.0
155,2600,1986,Shooter,0.35
156,2600,1986,Sports,0.28
157,NES,1987,Adventure,2.19
158,NES,1987,Fighting,2.03
159,NES,1987,Role-Playing,0.15
160,NES,1987,Fighting,0.77
161,NES,1987,Sports,0.14
162,NES,1987,Sports,0.12
163,NES,1987,Role-Playing,0.0
164,NES,1987,Platform,0.45
165,NES,1987,Role-Playing,0.32
166,NES,1987,Platform,0.45
167,2600,1987,Action,0.6
168,2600,1987,Action,0.44
169,2600,1987,Shooter,0.42
170,2600,1987,Shooter,0.24
171,2600,1987,Sports,0.07
172,2600,1987,Sports,0.07
173,NES,1988,Platform,9.54
174,NES,1988,Platform,5.39
175,NES,1988,Puzzle,2.97
176,NES,1988,Role-Playing,0.1
177,NES,1988,Sports,1.27
178,NES,1988,Racing,1.47
179,NES,1988,Platform,0.59
180,NES,1988,Action,0.93
181,GB,1988,Platform,0.82
182,NES,1988,Role-Playing,0.0
183,NES,1988,Sports,0.1
184,NES,1988,Role-Playing,0.0
185,2600,1988,Shooter,0.47
186,2600,1988,Action,0.22
187,PC,1988,Simulation,0.0
188,GB,1989,Puzzle,23.2
189,GB,1989,Platform,10.83
190,GB,1989,Puzzle,2.18
191,NES,1989,Action,3.38
192,GB,1989,Sports,0.83
193,GB,1989,Sports,0.75
194,GB,1989,Puzzle,0.96
195,NES,1989,Platform,0.91
196,GB,1989,Sports,0.66
197,GB,1989,Misc,0.0
198,GB,1989,Shooter,0.4
199,GB,1989,Role-Playing,0.0
200,NES,1989,Role-Playing,0.0
201,NES,1989,Platform,0.4
202,2600,1989,Action,0.45
203,2600,1989,Puzzle,0.14
204,NES,1989,Puzzle,0.06
205,SNES,1990,Platform,12.78
206,NES,1990,Puzzle,2.62
207,GB,1990,Racing,1.73
208,NES,1990,Role-Playing,0.08
209,SNES,1990,Racing,1.37
210,GEN,1990,Action,1.86
211,NES,1990,Action,1.74
212,SNES,1990,Action,0.67
213,NES,1990,Sports,0.28
214,NES,1990,Role-Playing,0.0
215,NES,1990,Platform,0.68
216,NES,1990,Platform,0.68
217,GB,1990,Puzzle,0.51
218,SNES,1990,Simulation,0.46
219,GB,1990,Sports,0.0
220,NES,1990,Sports,0.0
221,SNES,1991,Action,2.42
222,GEN,1991,Platform,3.03
223,SNES,1991,Simulation,0.93
224,SNES,1991,Role-Playing,0.24
225,GB,1991,Adventure,0.85
226,NES,1991,Puzzle,0.7
227,SNES,1991,Shooter,1.06
228,NES,1991,Action,1.05
229,SNES,1991,Platform,0.5
230,GB,1991,Racing,0.58
231,NES,1991,Sports,0.41
232,NES,1991,Platform,0.51
233,GB,1991,Role-Playing,0.0
234,GB,1991,Puzzle,0.0
235,SNES,1991,Platform,0.32
236,SNES,1991,Adventure,0.0
237,NES,1991,Puzzle,0.16
238,SNES,1991,Action,0.0
239,SNES,1991,Fighting,0.0
240,SNES,1991,Sports,0.0
241,GB,1991,Role-Playing,0.0
242,SNES,1991,Sports,0.0
243,SNES,1991,Strategy,0.0
244,NES,1991,Puzzle,0.0
245,SNES,1991,Role-Playing,0.0
246,GB,1991,Platform,0.0
247,NES,1991,Sports,0.0
248,GB,1991,Platform,0.0
249,SNES,1991,Action,0.0
250,SNES,1991,Strategy,0.0
251,SNES,1991,Shooter,0.0
252,SNES,1991,Sports,0.0
253,GB,1991,Strategy,0.0
254,SNES,1991,Strategy,0.0
255,SNES,1991,Simulation,0.0
256,SNES,1991,Sports,0.0
257,SNES,1991,Shooter,0.0
258,SNES,1991,Misc,0.0
259,SNES,1991,Sports,0.0
260,GB,1991,Action,0.0
261,SNES,1991,Role-Playing,0.0
262,GB,1992,Adventure,6.16
263,SNES,1992,Racing,3.54
264,SNES,1992,Fighting,2.47
265,GEN,1992,Platform,4.47
266,GB,1992,Platform,2.71
267,SNES,1992,Fighting,1.42
268,GB,1992,Action,2.21
269,SNES,1992,Role-Playing,0.0
270,SNES,1992,Misc,1.43
271,GEN,1992,Fighting,1.95
272,SNES,1992,Role-Playing,0.0
273,GB,1992,Misc,0.87
274,PC,1992,Simulation,1.2
275,GEN,1992,Sports,1.75
276,GB,1992,Puzzle,0.59
277,GEN,1992,Fighting,1.0
278,GB,1992,Puzzle,0.56
279,SNES,1992,Platform,0.66
280,NES,1992,Puzzle,0.41
281,SNES,1992,Role-Playing,0.0
282,NES,1992,Platform,0.39
283,PC,1992,Adventure,0.01
284,SNES,1992,Role-Playing,0.0
285,SNES,1992,Puzzle,0.0
286,SNES,1992,Sports,0.0
287,SNES,1992,Fighting,0.0
288,SNES,1992,Strategy,0.0
289,SNES,1992,Sports,0.0
290,SNES,1992,Racing,0.0
291,GB,1992,Puzzle,0.0
