,Platform,Year,Genre,Other_Sales
0,2600,1980,Shooter,0.05
1,2600,1980,Shooter,0.03
2,2600,1980,Misc,0.01
3,2600,1980,Misc,0.01
4,2600,1980,Fighting,0.01
5,2600,1980,Sports,0.01
6,2600,1980,Action,0.0
7,2600,1980,Misc,0.0
8,2600,1980,Misc,0.0
9,2600,1981,Platform,0.05
10,2600,1981,Action,0.02
11,2600,1981,Shooter,0.02
12,2600,1981,Action,0.02
13,2600,1981,Puzzle,0.02
14,2600,1981,Shooter,0.02
15,2600,1981,Platform,0.02
16,2600,1981,Shooter,0.01
17,2600,1981,Shooter,0.01
18,2600,1981,Shooter,0.01
19,2600,1981,Shooter,0.01
20,2600,1981,Platform,0.01
21,2600,1981,Action,0.01
22,2600,1981,Action,0.01
23,2600,1981,Action,0.01
24,2600,1981,Action,0.01
25,2600,1981,Shooter,0.01
26,2600,1981,Action,0.01
27,2600,1981,Action,0.01
28,2600,1981,Puzzle,0.01
29,2600,1981,Action,0.01
30,2600,1981,Action,0.01
31,2600,1981,Racing,0.0
32,2600,1981,Simulation,0.0
33,2600,1981,Action,0.0
34,2600,1981,Action,0.0
35,2600,1981,Action,0.0
36,2600,1981,Action,0.0
37,2600,1981,Action,0.0
38,2600,1981,Action,0.0
39,2600,1981,Action,0.0
40,2600,1981,Action,0.0
41,2600,1981,Shooter,0.0
42,2600,1981,Action,0.0
43,2600,1981,Action,0.0
44,2600,1981,Action,0.0
45,2600,1981,Sports,0.0
46,2600,1981,Action,0.0
47,2600,1981,Shooter,0.0
48,2600,1981,Shooter,0.0
49,2600,1981,Action,0.0
50,2600,1981,Action,0.0
51,2600,1981,Sports,0.0
52,2600,1981,Sports,0.0
53,2600,1981,Action,0.0
54,2600,1981,Sports,0.0
55,2600,1982,Puzzle,0.08
56,2600,1982,Puzzle,0.02
57,2600,1982,Platform,0.02
58,2600,1982,Racing,0.01
59,2600,1982,Shooter,0.01
60,2600,1982,Platform,0.01
61,2600,1982,Platform,0.01
62,2600,1982,Misc,0.01
63,2600,1982,Shooter,0.01
64,2600,1982,Shooter,0.01
65,2600,1982,Platform,0.01
66,2600,1982,Action,0.01
67,2600,1982,Action,0.01
68,2600,1982,Shooter,0.01
69,2600,1982,Action,0.01
70,2600,1982,Puzzle,0.01
71,2600,1982,Sports,0.01
72,2600,1982,Action,0.01
73,2600,1982,Platform,0.01
74,2600,1982,Shooter,0.01
75,2600,1982,Sports,0.01
76,2600,1982,Action,0.01
77,2600,1982,Action,0.0
78,2600,1982,Racing,0.0
79,2600,1982,Action,0.0
80,2600,1982,Action,0.0
81,2600,1982,Action,0.0
82,2600,1982,Action,0.0
83,2600,1982,Action,0.0
84,2600,1982,Action,0.0
85,2600,1982,Action,0.0
86,2600,1982,Action,0.0
87,2600,1982,Action,0.0
88,2600,1982,Action,0.0
89,2600,1982,Action,0.0
90,2600,1982,Action,0.0
91,NES,1983,Sports,0.02
92,NES,1983,Platform,0.02
93,NES,1983,Misc,0.0
94,2600,1983,Platform,0.02
95,NES,1983,Platform,0.01
96,NES,1983,Platform,0.01
97,NES,1983,Platform,0.02
98,2600,1983,Puzzle,0.01
99,2600,1983,Action,0.01
100,2600,1983,Action,0.01
101,2600,1983,Shooter,0.01
102,2600,1983,Action,0.0
103,2600,1983,Adventure,0.0
104,2600,1983,Action,0.0
105,2600,1983,Action,0.0
106,2600,1983,Action,0.0
107,2600,1983,Action,0.0
108,NES,1984,Shooter,0.47
109,NES,1984,Racing,0.07
110,NES,1984,Sports,0.04
111,NES,1984,Sports,0.02
112,NES,1984,Action,0.03
113,NES,1984,Racing,0.0
114,NES,1984,Shooter,0.01
115,NES,1984,Misc,0.0
116,NES,1984,Shooter,0.02
117,NES,1984,Puzzle,0.02
118,NES,1984,Puzzle,0.0
119,NES,1984,Puzzle,0.02
120,NES,1984,Platform,0.0
121,2600,1984,Racing,0.0
122,NES,1985,Platform,0.77
123,NES,1985,Action,0.06
124,NES,1985,Sports,0.02
125,NES,1985,Platform,0.02
126,NES,1985,Puzzle,0.03
127,NES,1985,Fighting,0.0
128,NES,1985,Puzzle,0.0
129,NES,1985,Shooter,0.0
130,NES,1985,Platform,0.01
131,NES,1985,Platform,0.0
132,2600,1985,Puzzle,0.0
133,NES,1985,Puzzle,0.0
134,PC,1985,Simulation,0.01
135,DS,1985,Action,0.0
136,NES,1986,Action,0.14
137,NES,1986,Sports,0.07
138,NES,1986,Action,0.05
139,NES,1986,Platform,0.0
140,NES,1986,Role-Playing,1.51
141,NES,1986,Sports,0.0
142,NES,1986,Racing,0.05
143,NES,1986,Platform,0.02
144,NES,1986,Action,0.03
145,NES,1986,Platform,0.0
146,NES,1986,Shooter,0.01
147,NES,1986,Platform,0.01
148,NES,1986,Shooter,0.0
149,NES,1986,Platform,0.0
150,NES,1986,Action,0.0
151,NES,1986,Action,0.03
152,NES,1986,Platform,0.0
153,NES,1986,Shooter,0.01
154,NES,1986,Action,0.0
155,2600,1986,Shooter,0.0
156,2600,1986,Sports,0.0
157,NES,1987,Adventure,0.08
